ang_frequency,study_id,instance,mw_phbv,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,hb_ratio_mol,texp,strain_fixed,complex_viscosity,log_complex_viscosity,log_ang_frequency,log_mw
0.990249611863506,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,3626.80169079641,3.5595238095238084,-0.004255319148936439,5.07139959899491
1.27756492146711,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,3162.27766016837,3.4999999999999987,0.10638297872340267,5.07139959899491
1.60049867576173,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,2619.1161704187,3.4181547619047614,0.2042553191489351,5.07139959899491
2.16855385825095,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,2363.26217936453,3.3735119047619033,0.33617021276595604,5.07139959899491
2.79774746328854,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1991.16450972432,3.299107142857141,0.446808510638297,5.07139959899491
3.57430401822105,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1766.13464363449,3.247023809523807,0.553191489361702,5.07139959899491
4.70262583613511,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1539.92652605949,3.1874999999999996,0.6723404255319146,5.07139959899491
6.12680478057331,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1342.69134814186,3.12797619047619,0.787234042553191,5.07139959899491
7.75107076927515,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1232.46277130873,3.090773809523808,0.8893617021276591,5.07139959899491
10.2983099197286,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,1074.60782832131,3.031249999999997,1.0127659574468049,5.07139959899491
13.0284759920612,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,969.632453498555,2.9866071428571423,1.1148936170212758,5.07139959899491
16.6447239076338,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,860.050216520385,2.934523809523809,1.2212765957446785,5.07139959899491
21.8990629460591,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,762.852328496103,2.882440476190476,1.3404255319148928,5.07139959899491
27.7046833961359,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,712.325630931696,2.852678571428571,1.4425531914893612,5.07139959899491
35.0494212455905,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,621.090321860416,2.7931547619047614,1.5446808510638295,5.07139959899491
45.6640543233816,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,579.953077231842,2.7633928571428568,1.6595744680851054,5.07139959899491
59.4933035452358,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,505.672164190878,2.703869047619047,1.774468085106383,5.07139959899491
77.5107076927516,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,456.274492245479,2.6592261904761902,1.8893617021276596,5.07139959899491
99.0249611863506,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,418.816525457296,2.6220238095238084,1.9957446808510635,5.07139959899491
129.014432943116,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,384.433679675769,2.5848214285714284,2.110638297872339,5.07139959899491
163.217212856327,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,329.50130794918,2.517857142857143,2.2127659574468073,5.07139959899491
212.647153918981,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,292.262980908842,2.4657738095238084,2.3276595744680852,5.07139959899491
277.046833961359,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,250.50103454986,2.398809523809523,2.4425531914893615,5.07139959899491
364.50385657305,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,222.190860285091,2.346726190476189,2.5617021276595744,5.07139959899491
465.677340897209,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,197.080137744511,2.294642857142856,2.6680851063829785,5.07139959899491
